2026-03-18 03:54:14,424 INFO    MainThread:3376600 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_setup.py:_flush():68] Configure stats pid to 3376600
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_setup.py:_flush():68] Loading settings from /mnt/shared/gpfs/home/manvij2/.config/wandb/settings
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_setup.py:_flush():68] Loading settings from /mnt/shared/gpfs/home/manvij2/journal_phase/CODEBASE/wandb/settings
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_setup.py:_flush():68] Loading settings from environment variables
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /mnt/shared/gpfs/home/manvij2/journal_phase/CODEBASE/wandb/run-20260318_035414-n7oa1qcx/logs/debug.log
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /mnt/shared/gpfs/home/manvij2/journal_phase/CODEBASE/wandb/run-20260318_035414-n7oa1qcx/logs/debug-internal.log
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_init.py:init():852] calling init triggers
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'temperature': 0.75, 'checkpoint': '/mnt/shared/gpfs/home/manvij2/checkpoints/run_CHK/test_new.pt', 'start_epoch': 0, 'wandb_project': 'dafny-rl_new2', 'wandb_entity': 'drprofmjha-university-of-illinois-urbana-champaign', 'max_workers': 1, '_wandb': {}}
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_init.py:init():893] starting backend
2026-03-18 03:54:14,425 INFO    MainThread:3376600 [wandb_init.py:init():897] sending inform_init request
2026-03-18 03:54:14,429 INFO    MainThread:3376600 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-18 03:54:14,429 INFO    MainThread:3376600 [wandb_init.py:init():907] backend started and connected
2026-03-18 03:54:14,431 INFO    MainThread:3376600 [wandb_init.py:init():1002] updated telemetry
2026-03-18 03:54:14,431 INFO    MainThread:3376600 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2026-03-18 03:54:15,545 INFO    MainThread:3376600 [wandb_init.py:init():1101] starting run threads in backend
2026-03-18 03:54:15,918 INFO    MainThread:3376600 [wandb_run.py:_console_start():2566] atexit reg
2026-03-18 03:54:15,918 INFO    MainThread:3376600 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2026-03-18 03:54:15,918 INFO    MainThread:3376600 [wandb_run.py:_redirect():2483] Wrapping output streams.
2026-03-18 03:54:15,918 INFO    MainThread:3376600 [wandb_run.py:_redirect():2506] Redirects installed.
2026-03-18 03:54:15,922 INFO    MainThread:3376600 [wandb_init.py:init():1147] run started, returning control to user process
2026-03-18 03:54:39,036 INFO    MainThread:3376600 [wandb_run.py:_finish():2314] finishing run drprofmjha-university-of-illinois-urbana-champaign/dafny-rl_new2/n7oa1qcx
2026-03-18 03:54:39,037 INFO    MainThread:3376600 [wandb_run.py:_atexit_cleanup():2531] got exitcode: 0
2026-03-18 03:54:39,037 INFO    MainThread:3376600 [wandb_run.py:_restore():2513] restore
2026-03-18 03:54:39,037 INFO    MainThread:3376600 [wandb_run.py:_restore():2519] restore done
2026-03-18 03:54:39,840 INFO    MainThread:3376600 [wandb_run.py:_footer_history_summary_info():4160] rendering history
2026-03-18 03:54:39,840 INFO    MainThread:3376600 [wandb_run.py:_footer_history_summary_info():4192] rendering summary
2026-03-18 03:54:39,840 INFO    MainThread:3376600 [wandb_run.py:_footer_sync_info():4121] logging synced files
